run_id,ddb_seconds,count_min,count_max,count_sum,zero_count,object_pixels,object_count_sum,object_zero_count,variance_min,variance_max,variance_sum,variance_nonfinite,variance_negative
149,0.9081575770001109,1,61,12691364,0,251352,5827213,0,0.0,119.59896087646484,410445.1326180822,0,0
150,0.9114008739998098,0,61,12745648,6,251352,5897391,0,0.0,259.58203125,404801.8449800747,0,0
151,0.9113322990001507,0,61,12703019,10,251352,5843317,3,0.0,88.2109375,413235.38476262946,0,0
152,0.9075811739999153,0,64,12544673,7,251352,5792516,1,0.0,120.02083587646484,428163.6258992265,0,0
153,0.9029217839997727,0,63,12646300,1,251352,5806186,0,0.0,66.27474212646484,415576.2686425992,0,0
154,0.8944259889999557,1,68,12456766,0,251352,5763284,0,0.0,70.04036712646484,416128.30108389386,0,0
155,0.9242607340001996,0,70,12647354,6,251352,5774403,0,0.0,131.853515625,422131.1664939715,0,0
156,0.8079368490002707,0,66,12484331,5,251352,5766388,1,0.0,130.2161407470703,418426.0105143406,0,0
157,0.8081314299997757,1,61,12614163,0,251352,5799495,0,0.0,120.4453125,410364.27266253356,0,0
158,0.796393726000133,0,60,12518566,16,251352,5757268,8,0.0,216.10546875,433867.01810357213,0,0
159,0.8033856010001728,0,63,12539094,6,251352,5781943,6,0.0,85.8828125,426388.97547736106,0,0
160,0.8754328069999247,0,68,12537275,13,251352,5797639,8,0.0,97.8359375,426209.34816267306,0,0
161,0.8775132010000561,0,60,12599858,14,251352,5829638,0,0.0,109.34728240966797,430014.4291557685,0,0
162,0.8699613660000978,0,67,12604692,3,251352,5820927,3,0.0,130.015625,436464.441724506,0,0
163,0.8638733860002503,0,65,12597274,3,251352,5802730,0,0.0,153.8893280029297,455680.2480779645,0,0
164,0.8538292079997518,1,62,12645204,0,251352,5806580,0,0.0,202.888671875,459964.85093777237,0,0
165,0.8572605770000337,1,59,12595750,0,251352,5790914,0,0.0,177.25390625,477470.98963729944,0,0
166,0.8563733949999914,1,63,12586978,0,251352,5796115,0,0.0,80.4609375,465013.3268529712,0,0
167,0.8482600000002094,1,59,12696268,0,251352,5825705,0,0.0,84.6875,474578.79993522534,0,0
168,0.8386312640000142,0,61,12546120,4,251352,5790188,4,0.0,176.203125,495141.4719383629,0,0
169,0.8278982460001316,1,71,12707121,0,251352,5839689,0,0.0,92.4296875,503515.1791355977,0,0
170,0.8294398749999345,0,59,12623325,4,251352,5794239,0,0.0,180.16796875,509107.1000152461,0,0
171,0.8211614660003761,0,67,12614195,1,251352,5797938,0,0.0,88.74609375,514610.9400699691,0,0
172,0.845615091000127,0,64,12554867,4,251352,5800759,0,0.0,141.87109375,534953.0961967831,0,0
173,0.8661477589998867,0,64,12693394,3,251352,5848006,0,0.0,108.80599212646484,534805.962784002,0,0
174,0.8538724850000108,0,61,12642159,4,251352,5827925,0,0.0,81.1273422241211,548572.6827087852,0,0
175,0.8587491230000524,0,56,12703987,1,251352,5864104,0,0.0,222.84043884277344,548729.6709316628,0,0
176,0.9069427250001354,0,71,12741698,12,251352,5849772,0,0.0,100.63216400146484,564137.0556505962,0,0
177,0.892669164000381,0,66,12661150,10,251352,5818475,0,0.0,131.12109375,545814.4197706773,0,0
178,0.8880129379999744,0,67,12625948,8,251352,5858099,0,0.0,119.2109375,549176.7561863341,0,0
179,0.8979361040001095,0,59,12664938,1,251352,5843976,0,0.0,112.7265625,535364.0731912712,0,0
180,0.8492438960001891,0,56,12661296,9,251352,5829688,3,0.0,92.943359375,530422.5070596135,0,0
181,0.8432387449997805,1,68,12595002,0,251352,5763255,0,0.0,95.1640625,531674.6491926376,0,0
182,0.8317107129996657,1,61,12671627,0,251352,5858103,0,0.0,66.17473602294922,518136.06064475205,0,0
183,0.8281244720001268,0,68,12613172,8,251352,5842263,0,0.0,73.6171875,502271.57492063026,0,0
184,0.841073244999734,0,63,12582305,2,251352,5793311,2,0.0,108.48763275146484,521677.8902888899,0,0
185,0.8389349760000187,1,61,12613250,0,251352,5860437,0,0.0,150.08203125,500216.3203677094,0,0
186,0.8430343750001157,0,62,12703311,4,251352,5863188,0,0.0,159.58203125,491547.52224056766,0,0
187,0.8402421700002378,1,61,12627932,0,251352,5814957,0,0.0,90.69921875,493636.7136577642,0,0
188,0.8205710379997981,0,60,12656481,6,251352,5861820,0,0.0,87.921875,469104.47478074726,0,0
189,0.8506305649998467,0,62,12562694,5,251352,5792496,4,0.0,90.4765625,466254.1962589149,0,0
190,0.8158792270000959,1,59,12660244,0,251352,5824436,0,0.0,92.53515625,456736.1019420959,0,0
191,0.8241618390002259,1,60,12593480,0,251352,5812006,0,0.0,86.18150329589844,454838.13712154236,0,0
192,0.8446464489998107,0,60,12776497,1,251352,5883470,0,0.0,177.138671875,434781.2520576431,0,0
