variant,support,radius_mm,mean_rsp,std_rsp,pixels,dataset,ddb,fov_mm,hann
s2_fov210_hann0,False,37.625,1.0143847046702197,0.0177059165987016,5808,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,37.875,1.0134344496451348,0.017658260847194504,6072,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,38.125,1.0131475361916258,0.01744066462718505,5884,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,38.375,1.0138534074649215,0.017609677305702388,6144,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,38.625,1.0141544846434292,0.018122369549923106,5944,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,38.875,1.0138949143771943,0.01804186625025362,6240,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,39.125,1.0133652515926792,0.01822816033294642,6032,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,39.375,1.0127920344424324,0.017827268310281648,6260,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,39.625,1.0128961448255298,0.01752671007463662,6160,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,39.875,1.013252088965117,0.0179659508195288,6320,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,40.125,1.01440352636079,0.018243750936150667,6240,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,40.375,1.015503280527783,0.018491726531860073,6428,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,40.625,1.0144155694710724,0.01799472216045517,6304,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,40.875,1.0132222546932876,0.018253745321027363,6488,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,41.125,1.0134365655825974,0.018001921753882846,6408,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,41.375,1.0141558532776818,0.01811026922749964,6540,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,41.625,1.0145130538267948,0.018242304171597674,6488,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,41.875,1.0141527901635026,0.017377061764176686,6600,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,42.125,1.0131637087915883,0.017171465905057404,6600,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,42.375,1.0131238916573548,0.017626301424305386,6664,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,42.625,1.0136096187182018,0.018079542914706058,6660,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,42.875,1.0133297082255868,0.017221211189856218,6800,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,43.125,1.012993505042322,0.017364279539384294,6704,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,43.375,1.0135034008626986,0.018110209922371032,6928,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,43.625,1.0139761571973898,0.018187083723132245,6748,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,43.875,1.0132257422739896,0.018300805654672913,6976,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,44.125,1.0129967310034766,0.018625935945183,6792,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,44.375,1.0136488282576939,0.018899018671724426,7136,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,44.625,1.0141290481776881,0.018534971399174042,6892,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,44.875,1.0141744978130869,0.018040423012285894,7112,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,45.125,1.014121079511226,0.01771587640697773,7008,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,45.375,1.0142630874581982,0.018284313390195102,7216,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,45.625,1.015109422919367,0.018354539795531356,7064,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,45.875,1.0148773873280623,0.01793708194539416,7348,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,46.125,1.0137978281817448,0.018105198216628978,7152,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,46.375,1.0127585371211976,0.017612326818371094,7408,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,46.625,1.0119740240101431,0.01721440637980116,7176,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,46.875,1.012857505965233,0.01722754406864113,7500,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,47.125,1.015048319543456,0.018439051216976653,7280,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,47.375,1.0153641066494141,0.018185834695784768,7520,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,47.625,1.0144907159260101,0.017983058747924406,7408,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,47.875,1.0138635284792867,0.018083586962897556,7564,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,48.125,1.0138813597179934,0.018113746837529393,7504,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,48.375,1.013796250293008,0.01766410691467602,7648,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,48.625,1.0134611987125348,0.01690846068814904,7616,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,48.875,1.0134511289434196,0.01732223218258402,7724,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,49.125,1.0133805481466436,0.017583040562875758,7672,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,49.375,1.0136496617936241,0.018505194753352577,7880,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,49.625,1.0141169554427547,0.017927119514012657,7664,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,49.875,1.0145966093930954,0.017678180227923366,7944,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,50.125,1.0133909343370742,0.01784979248492552,7780,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,50.375,1.0128810783067057,0.017682560267800046,7936,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,50.625,1.0131978008435174,0.017640020116549842,7888,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,50.875,1.0136376240840652,0.017463239338166583,8088,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,51.125,1.0142409515883801,0.018406678581602928,7964,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,51.375,1.0135483153625928,0.017619812652618878,8136,vacuum,corrected,210.0,0.0
