dataset,run_id,variant,accepted_train,weight_min,weight_median,weight_max,effective_sample_size,effective_fraction
s2,322,combined,60185,0.30011075735092163,1.0,4.0,39890.960532157456,0.662805691321051
s2,323,equal,60499,1.0,1.0,1.0,60499.0,1.0
s2,323,inverse_variance,60499,0.3376885950565338,1.0,4.0,40120.889437920116,0.6631661587451051
s2,323,robust_confidence,60499,0.8333961367607117,1.0,1.0,60493.2471065222,0.9999049092798591
s2,323,combined,60499,0.33805984258651733,1.0,4.0,40127.351518195814,0.6632729717548358
s2,324,equal,60662,1.0,1.0,1.0,60662.0,1.0
s2,324,inverse_variance,60662,0.33746644854545593,1.0,4.0,40207.63833542544,0.6628142549771758
s2,324,robust_confidence,60662,0.8335549831390381,1.0,1.0,60655.34611567403,0.9998903121505066
s2,324,combined,60662,0.30564236640930176,1.0,4.0,40208.5137339303,0.6628286857329184
s2,325,equal,60407,1.0,1.0,1.0,60407.0,1.0
s2,325,inverse_variance,60407,0.338390588760376,1.0,4.0,40052.07897467228,0.663037048267126
s2,325,robust_confidence,60407,0.8333438038825989,1.0,1.0,60400.91895365464,0.9998993320915562
s2,325,combined,60407,0.30497702956199646,1.0,4.0,40055.45985945717,0.663093016694376
s2,326,equal,60203,1.0,1.0,1.0,60203.0,1.0
s2,326,inverse_variance,60203,0.3378713130950928,1.0,4.0,39929.90601493821,0.6632544227852136
s2,326,robust_confidence,60203,0.833579957485199,1.0,1.0,60196.901229994415,0.9998986965764898
s2,326,combined,60203,0.33820223808288574,1.0,4.0,39932.51571653212,0.6632977711498118
s2,327,equal,60194,1.0,1.0,1.0,60194.0,1.0
s2,327,inverse_variance,60194,0.3378443419933319,1.0,4.0,39948.45837674464,0.6636617997930797
s2,327,robust_confidence,60194,0.8336586952209473,1.0,1.0,60188.10162668396,0.9999020106104256
s2,327,combined,60194,0.3381800651550293,1.0,4.0,39952.80922881124,0.6637340802872586
s2,328,equal,60569,1.0,1.0,1.0,60569.0,1.0
s2,328,inverse_variance,60569,0.33767053484916687,1.0,4.0,40152.024658797556,0.6629137786458016
s2,328,robust_confidence,60569,0.8336939811706543,1.0,1.0,60563.14315410998,0.9999033029125457
s2,328,combined,60569,0.3366086483001709,1.0,4.0,40155.82711222135,0.6629765575165736
s2,329,equal,60096,1.0,1.0,1.0,60096.0,1.0
s2,329,inverse_variance,60096,0.33735209703445435,1.0,4.0,39824.46258121997,0.66268075381423
s2,329,robust_confidence,60096,0.8334935903549194,1.0,1.0,60090.57881746235,0.9999097912916393
s2,329,combined,60096,0.337594211101532,1.0,4.0,39826.57899050568,0.6627159709549002
s2,330,equal,60114,1.0,1.0,1.0,60114.0,1.0
s2,330,inverse_variance,60114,0.33845213055610657,1.0,4.0,39830.55927817838,0.6625837455198187
s2,330,robust_confidence,60114,0.8335290551185608,1.0,1.0,60107.73939994691,0.9998958545421518
s2,330,combined,60114,0.3292309045791626,1.0,4.0,39842.65470864234,0.6627849537319482
s2,331,equal,60637,1.0,1.0,1.0,60637.0,1.0
s2,331,inverse_variance,60637,0.33805540204048157,1.0,4.0,40143.066976881586,0.6620226425595195
s2,331,robust_confidence,60637,0.8339175581932068,1.0,1.0,60631.039114488405,0.9999016955734684
s2,331,combined,60637,0.2959286868572235,1.0,4.0,40147.280508699616,0.6620921303609943
s2,332,equal,60666,1.0,1.0,1.0,60666.0,1.0
s2,332,inverse_variance,60666,0.33634889125823975,1.0,4.0,40188.27458992028,0.6624513663323819
s2,332,robust_confidence,60666,0.8333390355110168,1.0,1.0,60659.981002562265,0.9999007846662424
s2,332,combined,60666,0.29912349581718445,1.0,4.0,40189.689475946136,0.6624746888858032
s2,333,equal,60886,1.0,1.0,1.0,60886.0,1.0
s2,333,inverse_variance,60886,0.3379647731781006,1.0,4.0,40318.644474262794,0.6621989369356304
s2,333,robust_confidence,60886,0.8333641290664673,1.0,1.0,60880.116900831636,0.9999033751737942
s2,333,combined,60886,0.3232092559337616,1.0,4.0,40323.82818338749,0.6622840748840044
s2,334,equal,59991,1.0,1.0,1.0,59991.0,1.0
s2,334,inverse_variance,59991,0.33743762969970703,1.0,4.0,39797.16437894558,0.6633855808195492
s2,334,robust_confidence,59991,0.8334549069404602,1.0,1.0,59985.177593050736,0.9999029453259778
s2,334,combined,59991,0.3378300964832306,1.0,4.0,39804.36297190079,0.663505575367985
s2,335,equal,60438,1.0,1.0,1.0,60438.0,1.0
s2,335,inverse_variance,60438,0.3390786945819855,1.0,4.0,40091.67595195629,0.6633521286600531
s2,335,robust_confidence,60438,0.8333396315574646,1.0,1.0,60431.92478033128,0.9998994801338774
s2,335,combined,60438,0.33938488364219666,1.0,4.0,40093.56852594732,0.663383442965474
s2,336,equal,60492,1.0,1.0,1.0,60492.0,1.0
s2,336,inverse_variance,60492,0.3372742831707001,1.0,4.0,40064.50738679546,0.6623108408846701
s2,336,robust_confidence,60492,0.8333502411842346,1.0,1.0,60485.491298780114,0.9998924039340759
