dataset,run_id,candidate,total,inside,train_total,train_accepted,train_retention,validation_total,validation_accepted,validation_retention,test_total,test_accepted,test_retention,distance_p50,distance_p99
s2,682,baseline_3sigma,88018,77981,70383,60397,0.8581191480897375,8737,7519,0.8605928808515508,8898,7645,0.8591818386154192,0.5663619637489319,5.428228855133057
s2,683,baseline_3sigma,87545,77840,69958,60294,0.8618599731267332,8789,7538,0.8576629878256912,8798,7595,0.8632643782677881,0.5693062543869019,5.236933708190918
s2,684,baseline_3sigma,88378,78449,70508,60710,0.861037045441652,8965,7653,0.8536530953708867,8905,7642,0.8581695676586187,0.5626224279403687,5.391357898712158
s2,685,baseline_3sigma,88167,78332,70525,60768,0.8616518964906061,8782,7529,0.8573217945798224,8860,7586,0.8562076749435666,0.563133955001831,5.305692195892334
s2,686,baseline_3sigma,88035,78048,70222,60129,0.8562701147788442,8920,7746,0.8683856502242152,8893,7652,0.8604520409310694,0.5516689419746399,5.327873706817627
s2,687,baseline_3sigma,87554,77606,70022,60074,0.8579303647425095,8665,7464,0.861396422388921,8867,7598,0.8568850795082892,0.5561227798461914,5.277664661407471
s2,688,baseline_3sigma,87784,77990,70137,60281,0.8594750274462837,8805,7514,0.8533787620670074,8842,7626,0.8624745532684913,0.5561374425888062,5.172584533691406
s2,689,baseline_3sigma,87979,78335,70397,60663,0.8617270622327656,8789,7574,0.8617590169530095,8793,7554,0.8590924599112931,0.5660114884376526,5.333580017089844
s2,690,baseline_3sigma,87750,77777,70290,60385,0.859083795703514,8872,7600,0.8566275924256087,8588,7330,0.8535165346995808,0.5594038367271423,5.36186408996582
s2,691,baseline_3sigma,87696,77737,70197,60320,0.8592959813097426,8728,7510,0.8604491292392301,8771,7507,0.8558887242047657,0.5470770597457886,5.260136127471924
s2,692,baseline_3sigma,88625,78655,70751,60742,0.8585320348828992,8849,7656,0.8651825064979094,9025,7738,0.8573961218836565,0.5642436742782593,5.2715935707092285
s2,693,baseline_3sigma,88375,78402,70744,60711,0.8581787854800407,8852,7610,0.859692724807953,8779,7531,0.8578425788814216,0.5552607774734497,5.294404983520508
s2,694,baseline_3sigma,87783,77709,70161,60170,0.8575989509841649,8811,7514,0.8527976393144933,8811,7527,0.8542730677562138,0.5657058954238892,5.413236141204834
s2,695,baseline_3sigma,88333,78375,70669,60770,0.8599244364572868,8876,7644,0.861198738170347,8788,7518,0.8554847519344561,0.5665538907051086,5.341363906860352
s2,696,baseline_3sigma,87640,77671,69866,59862,0.856811610797813,8953,7682,0.85803641237574,8821,7544,0.855231833125496,0.5699571371078491,5.324705123901367
s2,697,baseline_3sigma,88263,78163,70614,60519,0.8570396805166114,8822,7618,0.8635230106551802,8827,7560,0.8564631245043616,0.5539959669113159,5.277687072753906
s2,698,baseline_3sigma,87870,77946,70310,60393,0.8589532072251458,8815,7591,0.8611457742484402,8745,7474,0.8546598056032019,0.5572410821914673,5.3843607902526855
s2,699,baseline_3sigma,87761,77854,70220,60371,0.85974081458274,8762,7559,0.86270257931979,8779,7560,0.8611459163913885,0.5461434721946716,5.225649833679199
s2,700,baseline_3sigma,87685,77960,70229,60325,0.858975636845178,8700,7459,0.8573563218390805,8756,7611,0.8692325262677022,0.5551486015319824,5.58190393447876
s2,701,baseline_3sigma,88626,78734,70742,60909,0.8610019507506149,8897,7660,0.8609643700123637,8987,7748,0.8621341938355402,0.5625932216644287,5.229802131652832
s2,702,baseline_3sigma,87911,78109,70416,60631,0.8610401045216997,8700,7445,0.8557471264367816,8795,7562,0.859806708357021,0.5618676543235779,5.240285396575928
s2,703,baseline_3sigma,87872,78147,70384,60603,0.8610337576721983,8759,7539,0.8607146934581573,8729,7503,0.8595486310001146,0.5537305474281311,5.3551344871521
s2,704,baseline_3sigma,87923,77981,70142,60255,0.8590430840295401,8937,7730,0.8649434933422849,8844,7571,0.8560606060606061,0.5534633994102478,5.332876682281494
s2,705,baseline_3sigma,87833,78012,70339,60519,0.8603903950866518,8770,7518,0.8572405929304447,8724,7503,0.860041265474553,0.5625006556510925,5.209678649902344
s2,706,baseline_3sigma,87700,77767,70174,60298,0.8592641149143557,8827,7575,0.8581624561006004,8699,7448,0.8561903667088171,0.5546378493309021,5.357521057128906
s2,707,baseline_3sigma,88302,78360,70619,60669,0.8591030742434755,8823,7586,0.8597982545619404,8860,7661,0.8646726862302483,0.550038754940033,5.305199146270752
s2,708,baseline_3sigma,88454,78361,70849,60681,0.8564835071772361,8752,7489,0.8556901279707495,8853,7607,0.8592567491245905,0.564848005771637,5.340952396392822
s2,709,baseline_3sigma,87634,77840,70160,60363,0.8603620296465222,8695,7493,0.8617596319723979,8779,7541,0.8589816607814101,0.5612753033638,5.3005266189575195
s2,710,baseline_3sigma,88393,78383,70735,60707,0.8582314271577013,8772,7511,0.8562471500227998,8886,7651,0.8610173306324556,0.5603038668632507,5.331748962402344
s2,711,baseline_3sigma,88061,78230,70509,60641,0.8600462352323817,8753,7519,0.8590197646521193,8799,7519,0.8545289237413343,0.5549261569976807,5.408122539520264
s2,712,baseline_3sigma,87509,77762,69946,60180,0.8603780058902581,8832,7626,0.8634510869565217,8731,7516,0.8608406826251288,0.5511873960494995,5.326195240020752
s2,713,baseline_3sigma,88227,78344,70296,60487,0.860461477182201,8975,7680,0.8557103064066852,8956,7738,0.8640017865118357,0.5753790140151978,5.219214916229248
s2,714,baseline_3sigma,87725,78024,70135,60389,0.8610394239680615,8780,7527,0.8572892938496584,8810,7560,0.8581157775255391,0.5642431974411011,5.365346431732178
