dataset,run_id,candidate,total,inside,train_total,train_accepted,train_retention,validation_total,validation_accepted,validation_retention,test_total,test_accepted,test_retention,distance_p50,distance_p99
s4,331,median_mad,87348,66770,70127,49940,0.7121365522551941,8476,6011,0.7091788579518641,8745,6221,0.7113779302458548,1.0924431085586548,10.765799522399902
s4,332,median_mad,88385,67553,70646,50175,0.7102312940576961,8947,6348,0.7095115681233933,8792,6290,0.7154231119199272,1.1003345251083374,11.071414947509766
s4,333,median_mad,87454,67043,69885,49964,0.714945982685841,8772,6259,0.7135202918376653,8797,6301,0.7162669091735819,1.0954951047897339,10.969353675842285
s4,334,median_mad,87557,66702,70035,49865,0.7120011422859999,8828,6260,0.7091073855913004,8694,6187,0.7116402116402116,1.0922447443008423,10.851482391357422
s4,335,median_mad,88091,67529,70572,50453,0.7149152638440175,8659,6126,0.7074719944566347,8860,6312,0.7124153498871332,1.094907522201538,10.9401216506958
s4,336,median_mad,88010,67327,70376,50163,0.712785608730249,8972,6418,0.7153366027641551,8662,6100,0.704225352112676,1.0989896059036255,10.727898597717285
s4,337,median_mad,87446,67001,69811,49914,0.7149876094025297,8730,6126,0.7017182130584192,8905,6338,0.711734980348119,1.1032636165618896,10.93694019317627
s4,338,median_mad,87313,66884,69706,49866,0.7153760078042063,8806,6244,0.7090620031796503,8801,6190,0.7033291671400977,1.0991504192352295,10.763623237609863
s4,339,median_mad,88083,67389,70419,50201,0.7128899870773513,8802,6238,0.7087025675982731,8862,6292,0.7099977431730986,1.0992000102996826,10.992737770080566
s4,340,median_mad,87935,67094,70535,50155,0.7110654285106685,8757,6210,0.7091469681397738,8643,6151,0.7116741872035173,1.1041052341461182,10.868931770324707
s4,341,median_mad,87272,66758,69734,49736,0.7132245389623426,8776,6177,0.7038514129443938,8762,6263,0.7147911435745263,1.0994755029678345,10.608620643615723
s4,342,median_mad,87450,66854,70110,49925,0.7120952788475253,8651,6150,0.7109004739336493,8689,6217,0.7155023593048683,1.0980079174041748,10.821877479553223
s4,343,median_mad,87531,67296,69896,50237,0.718739269772233,8792,6179,0.7027979981801638,8843,6192,0.7002148592106751,1.1003477573394775,11.036140441894531
s4,344,median_mad,87900,67461,70466,50420,0.7155223795873187,8730,6263,0.7174112256586483,8704,6304,0.7242647058823529,1.1056820154190063,10.814812660217285
s4,345,median_mad,87548,67060,70051,50025,0.7141225678434283,8746,6225,0.7117539446604162,8751,6199,0.708376185578791,1.100954532623291,10.71534252166748
s4,346,median_mad,88457,67420,70699,50141,0.7092179521633969,8957,6411,0.7157530423132745,8801,6309,0.7168503579138734,1.1018787622451782,11.088244438171387
s4,347,median_mad,87767,67340,70027,49876,0.7122395647393148,8925,6419,0.7192156862745098,8815,6409,0.727056154282473,1.099719762802124,10.621942520141602
s4,348,median_mad,88112,67510,70507,50347,0.7140709433105933,8693,6191,0.7121822155757506,8912,6395,0.7175718132854578,1.0888601541519165,10.542961120605469
s4,349,median_mad,87787,67266,70375,50310,0.7148845470692717,8609,6119,0.7107678011383436,8803,6278,0.7131659661479042,1.1026461124420166,10.826716423034668
