input_rows,input_unique_merge_keys,input_duplicates_removed,output_rows,output_unique_run_event_track_keys,output_duplicate_run_event_track_rows,matched_input_merge_keys,unmatched_input_merge_keys,pairs,primary_pairs,secondary_pairs,local_run_id,run_id,input_in,input_out
100036,100036,0,91003,91003,0,87919,12117,87919,87919,0,0,23,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_023/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_023/PhaseSpaceOut.root
100191,100191,0,91278,91278,0,88089,12102,88089,88089,0,0,24,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_024/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_024/PhaseSpaceOut.root
100609,100609,0,91602,91602,0,88418,12191,88418,88418,0,0,25,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_025/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_025/PhaseSpaceOut.root
100036,100036,0,91122,91122,0,87922,12114,87922,87922,0,0,26,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_026/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_026/PhaseSpaceOut.root
100012,100012,0,90853,90853,0,87677,12335,87677,87677,0,0,27,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_027/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_027/PhaseSpaceOut.root
100177,100177,0,91153,91153,0,87989,12188,87989,87989,0,0,28,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_028/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_028/PhaseSpaceOut.root
99855,99855,0,91020,91020,0,87992,11863,87992,87992,0,0,29,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_029/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_029/PhaseSpaceOut.root
100514,100514,0,91509,91509,0,88401,12113,88401,88401,0,0,30,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_030/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_030/PhaseSpaceOut.root
99753,99753,0,90855,90855,0,87687,12066,87687,87687,0,0,31,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_031/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_031/PhaseSpaceOut.root
100166,100166,0,90990,90990,0,87854,12312,87854,87854,0,0,32,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_032/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_032/PhaseSpaceOut.root
