run,depth_mm,count,water_rms_mm,inhomogeneous_rms_mm
21,28.25,2782,0.39881943682595306,0.39770261481689273
21,28.75,2772,0.39794699076100304,0.3968575113507834
21,29.25,2768,0.3965896485920901,0.39552926413417533
21,29.75,2768,0.39492097029071227,0.39389170177188737
21,30.25,2763,0.3935572874502641,0.3925592229330492
21,30.75,2755,0.3922847959126215,0.39131752304701567
21,31.25,2747,0.39088001281637924,0.3899432049570058
21,31.75,2740,0.3893610386795165,0.38845422402494323
21,32.25,2738,0.38743258442123896,0.38655676260602273
21,32.75,2731,0.3858260158028885,0.3849815122989181
21,33.25,2726,0.3840586513245056,0.3832474527391365
21,33.75,2718,0.3824912848790189,0.38171401140841765
21,34.25,2712,0.38077695524695343,0.38003340350062487
21,34.75,2707,0.3789436890562944,0.3782342751362691
21,35.25,2695,0.3775555640923211,0.3768800106304437
21,35.75,2686,0.37591543727033155,0.3752745165497603
21,36.25,2676,0.3743023120367129,0.37369678227953984
21,36.75,2669,0.3724551134366921,0.3718852078220005
21,37.25,2660,0.3707049692632629,0.3701696403666587
21,37.75,2652,0.368867174919774,0.3683675753820049
21,38.25,2648,0.36670888935104023,0.36624421866101664
21,38.75,2637,0.3650224586258425,0.3645916551275352
21,39.25,2625,0.3633787412348824,0.3629797920683148
21,39.75,2616,0.36150460116749333,0.3611386669272375
21,40.25,2610,0.3594109266153421,0.35907798187323875
21,40.75,2600,0.35758241262270746,0.3572818401680362
21,41.25,2593,0.3555154493334087,0.3552454732992792
21,41.75,2579,0.3539020498977544,0.35366260011652345
21,42.25,2570,0.3519419907577969,0.35173268375390127
21,42.75,2560,0.35003779536058766,0.3498577038918749
21,43.25,2547,0.3483279820770993,0.3481766349638501
21,43.75,2538,0.3463205530149899,0.3461974120407785
21,44.25,2531,0.34395567546003436,0.34385921683770276
21,44.75,2522,0.3416498425230516,0.3415799973372352
21,45.25,2513,0.33931662070189633,0.339272069675799
21,45.75,2502,0.33710467760448,0.33708656288643424
21,46.25,2488,0.335044080421092,0.33505112456763764
21,46.75,2477,0.3326989470218999,0.3327310999790756
21,47.25,2469,0.33014210625267326,0.33019945951801494
21,47.75,2463,0.3274372296516437,0.32752022664761554
21,48.25,2456,0.32477996351817023,0.32488960027866887
21,48.75,2446,0.3223269867628814,0.32246323972970703
21,49.25,2436,0.319832549119144,0.319995562821589
21,49.75,2429,0.3171477392561819,0.3173384109126723
21,50.25,2410,0.31522610014165536,0.31544568604293594
21,50.75,2400,0.31266804123240155,0.31291206660047444
21,51.25,2386,0.3101162370549463,0.3103694348841654
21,51.75,2372,0.30750820748599256,0.3077696542996718
21,52.25,2365,0.30436022028306864,0.304627667322225
21,52.75,2359,0.3011458704427285,0.3014194350611454
21,53.25,2347,0.29826470681656103,0.29854539441199307
21,53.75,2341,0.29501151082068783,0.29529913666832885
21,54.25,2331,0.2919764575548655,0.29227116745225373
21,54.75,2319,0.2889554560870635,0.2892462234712027
21,55.25,2304,0.28608986701851563,0.28637518379221927
21,55.75,2290,0.2831366770127904,0.2834173016275854
21,56.25,2278,0.2800461994168408,0.2803233950013654
21,56.75,2271,0.27662204610681757,0.27689713618824613
21,57.25,2256,0.27364304267866396,0.27391847939180264
21,57.75,2251,0.2700246508860771,0.2703014505431934
21,58.25,2238,0.2668596600156823,0.26713929994379954
21,58.75,2225,0.2636741574833675,0.26395758823296933
21,59.25,2218,0.26010239203889274,0.2603903742123146
21,59.75,2213,0.25644257941262033,0.2567365282341481
21,60.25,2200,0.25327869345783505,0.2535802909504005
21,60.75,2185,0.25022330088157557,0.2505323899880381
21,61.25,2172,0.24704435316176032,0.24736054568766805
21,61.75,2163,0.24360937666781454,0.2439301760022417
21,62.25,2141,0.240323281953722,0.24064438414915687
21,62.75,2131,0.2367958608656412,0.23711847766395114
21,63.25,2116,0.23356123510183588,0.23388870600611644
21,63.75,2103,0.2301960101507794,0.2305241232678448
21,64.25,2093,0.22661997861531336,0.22694888713927608
21,64.75,2079,0.22323354709681636,0.2235612101659854
21,65.25,2072,0.2193902188536325,0.21971170316390357
21,65.75,2056,0.21599129461827035,0.2163060787836448
21,66.25,2037,0.21272818767093296,0.2130366459645474
