run_id,status,rows,wepl_min_mm,wepl_max_mm,wepl_mean_mm
386,written,51838,0.0,244.4248809814453,134.7185516357422
387,written,51900,0.0,239.13946533203125,134.2419891357422
388,written,52079,0.0,240.06687927246094,134.04136657714844
389,written,51646,0.0,240.2987060546875,134.32174682617188
390,written,51886,0.0,239.6928253173828,134.44088745117188
391,written,51677,0.0,242.5051727294922,134.05433654785156
392,written,52175,0.0,242.99427795410156,134.30844116210938
393,written,51630,0.0,243.71719360351562,134.34292602539062
394,written,52033,0.0,240.0910186767578,133.76614379882812
395,written,51570,0.0,241.68844604492188,134.31288146972656
396,written,51837,0.0,242.56683349609375,134.74278259277344
397,written,51949,0.0,242.1565704345703,134.1904296875
398,written,51960,0.0,243.8389129638672,134.76112365722656
399,written,51550,0.0,242.775146484375,133.57424926757812
400,written,52079,0.0,243.2662353515625,134.16650390625
401,written,51508,0.0,239.83021545410156,134.6425018310547
402,written,51940,0.0,242.01551818847656,134.3013153076172
403,written,51381,0.0,240.606201171875,134.4010772705078
404,written,51964,0.0,241.90927124023438,134.20069885253906
405,written,51628,0.0,240.0826873779297,134.57785034179688
406,written,51367,0.0,243.49732971191406,134.06179809570312
407,written,51778,0.0,241.42135620117188,134.94656372070312
408,written,51745,0.0,241.4765167236328,134.10092163085938
409,written,51578,0.0,239.16116333007812,133.93406677246094
410,written,51949,0.0,239.1165008544922,134.03277587890625
411,written,51752,0.0,239.01065063476562,134.9400634765625
412,written,51529,0.0,238.1161651611328,134.04251098632812
413,written,51755,0.0,237.63760375976562,134.4530792236328
414,written,51629,0.0,238.0668182373047,134.6183624267578
415,written,51981,0.0,241.7516632080078,134.72227478027344
416,written,52131,0.0,239.8290252685547,134.02267456054688
417,written,51973,0.0,243.49386596679688,134.21832275390625
418,written,51743,0.0,239.25401306152344,134.14157104492188
419,written,51705,0.0,239.9718017578125,134.6962890625
420,written,51816,0.0,238.38626098632812,134.3380584716797
421,written,51781,0.0,237.50741577148438,134.1263427734375
422,written,51748,0.0,241.1240234375,134.1519317626953
423,written,51616,0.0,235.99188232421875,134.4873046875
424,written,52013,0.0,235.6015167236328,133.8146514892578
425,written,51721,0.0,236.99813842773438,134.40103149414062
426,written,51608,0.0,234.42332458496094,134.4226531982422
427,written,52138,0.0,237.18568420410156,133.874755859375
428,written,51886,0.0,236.63575744628906,134.5135040283203
429,written,50968,0.0,237.0077667236328,134.896484375
430,written,51876,0.0,234.0985107421875,134.15615844726562
431,written,52034,0.0,237.88711547851562,134.2971954345703
432,written,51601,0.0,237.78024291992188,134.49954223632812
433,written,51578,0.0,234.8890380859375,134.0701446533203
434,written,51972,0.0,235.05397033691406,134.41017150878906
435,written,51718,0.0,235.26271057128906,134.4336395263672
436,written,52181,0.0,235.0977783203125,134.6605224609375
437,written,52056,0.0,232.9521484375,133.94430541992188
438,written,51333,0.0,234.06634521484375,134.47947692871094
439,written,51873,0.0,232.71087646484375,133.80677795410156
440,written,51755,0.0,232.04942321777344,133.90968322753906
441,written,51485,0.0,232.92913818359375,134.1893310546875
442,written,51755,0.0,233.35577392578125,134.31578063964844
443,written,51929,0.0,232.06028747558594,134.18896484375
444,written,51846,0.0,231.26683044433594,134.36196899414062
445,written,51922,0.0,234.48123168945312,134.33779907226562
446,written,51456,0.0,231.904296875,134.19482421875
447,written,51783,0.0,229.30979919433594,133.89341735839844
448,written,52035,0.0,230.74681091308594,134.27598571777344
449,written,51831,0.0,229.33522033691406,134.04611206054688
450,written,51802,0.0,228.86793518066406,134.10850524902344
451,written,52225,0.0,229.7333984375,134.1449432373047
452,written,51809,0.0,227.47789001464844,133.64572143554688
453,written,51781,0.0,233.11814880371094,134.15847778320312
454,written,51602,0.0,227.1221923828125,134.3705291748047
455,written,52013,0.0,229.2837371826172,133.84909057617188
456,written,51735,0.0,232.67718505859375,133.99636840820312
457,written,51910,0.0,229.46914672851562,134.23533630371094
458,written,51905,0.0,229.83724975585938,134.26829528808594
459,written,51477,0.0,227.31253051757812,134.45082092285156
460,written,51654,0.0,225.2219696044922,134.32308959960938
461,written,52116,0.0,233.39344787597656,134.3460693359375
462,written,51680,0.0,227.69268798828125,133.75172424316406
463,written,51423,0.0,227.3489227294922,134.27310180664062
464,written,51932,0.0,228.6859130859375,134.1520233154297
465,written,51783,0.0,225.17184448242188,134.51734924316406
466,written,51959,0.0,226.67401123046875,134.35830688476562
467,written,51816,0.0,227.28102111816406,134.51083374023438
468,written,51571,0.0,225.5124053955078,134.43482971191406
469,written,51836,0.0,226.11203002929688,133.99913024902344
470,written,51578,0.0,228.64028930664062,134.1177215576172
471,written,51782,0.0,225.36476135253906,134.7566375732422
472,written,51729,0.0,224.7957763671875,134.7902069091797
473,written,51673,0.0,227.4779815673828,134.6531982421875
474,written,51612,0.0,228.44808959960938,134.35476684570312
475,written,51626,0.0,232.30459594726562,134.41387939453125
476,written,51977,0.0,228.9601593017578,134.46188354492188
477,written,51824,0.0,229.469970703125,134.7685089111328
478,written,51982,0.0,230.99830627441406,134.3919219970703
479,written,52052,0.0,227.9718017578125,134.5389404296875
480,written,51888,0.0,231.05299377441406,134.5186004638672
481,written,51661,0.0,232.9054718017578,134.4920196533203
482,written,51598,0.0,230.50730895996094,134.32090759277344
483,written,51736,0.0,230.1914520263672,134.51937866210938
484,written,51863,0.0,231.77841186523438,135.04251098632812
485,written,52393,0.0,229.44566345214844,134.08596801757812
486,written,51792,0.0,231.50601196289062,134.56155395507812
487,written,51312,0.0,229.96188354492188,133.92755126953125
488,written,51628,0.0,229.80316162109375,134.87925720214844
489,written,51937,0.0,229.76402282714844,134.26039123535156
490,written,51538,0.0,233.20973205566406,134.3830108642578
491,written,52127,0.0,231.46607971191406,134.4121551513672
492,written,52035,0.0,231.17434692382812,134.7510223388672
493,written,51194,0.0,229.8298797607422,134.97491455078125
494,written,52199,0.0,234.05523681640625,134.07315063476562
495,written,51731,0.0,229.21002197265625,134.35250854492188
496,written,51731,0.0,231.16485595703125,134.70033264160156
497,written,52003,0.0,228.82765197753906,134.2476348876953
498,written,51889,0.0,228.83193969726562,134.36932373046875
499,written,51786,0.0,226.19273376464844,134.08348083496094
500,written,51484,0.0,226.98907470703125,134.43389892578125
501,written,51746,0.0,227.04408264160156,134.12413024902344
