run_id,seed,fraction,parent,selected,status
15,20260730,0.175,60178,42230,written
16,20260730,0.175,60339,42381,written
18,20260730,0.175,60213,42217,written
17,20260730,0.175,60329,42326,written
19,20260730,0.175,60642,42390,written
21,20260730,0.175,60602,42568,written
20,20260730,0.175,60165,42194,written
23,20260730,0.175,59923,41943,written
22,20260730,0.175,60236,42223,written
24,20260730,0.175,60510,42320,written
26,20260730,0.175,60391,42112,written
25,20260730,0.175,60405,42125,written
27,20260730,0.175,60307,42494,written
28,20260730,0.175,60512,42299,written
29,20260730,0.175,60119,42048,written
30,20260730,0.175,59897,42011,written
32,20260730,0.175,60108,41996,written
31,20260730,0.175,60301,42342,written
33,20260730,0.175,60053,41991,written
34,20260730,0.175,60519,42604,written
35,20260730,0.175,60044,42274,written
36,20260730,0.175,60303,42261,written
37,20260730,0.175,60551,42416,written
38,20260730,0.175,60300,42230,written
39,20260730,0.175,60243,42197,written
40,20260730,0.175,59910,41864,written
41,20260730,0.175,59959,42039,written
42,20260730,0.175,60742,42325,written
43,20260730,0.175,59981,42054,written
44,20260730,0.175,60395,42430,written
45,20260730,0.175,59837,41761,written
46,20260730,0.175,60793,42619,written
47,20260730,0.175,60051,42072,written
48,20260730,0.175,60138,42071,written
49,20260730,0.175,59979,41931,written
