case_id,energy_mev,thickness_mm,ionization_potential_ev,median_wepl_mm,median_rsp_bias_percent
water_e200_t0020,200.0,20.0,77.5,20.19254110245666,0.9627055122833017
water_e200_t0050,200.0,50.0,77.5,50.610551832674645,1.221103665349288
water_e200_t0100,200.0,100.0,77.5,101.3112002144228,1.3112002144227919
water_e220_t0005,220.0,5.0,77.5,4.96770509462948,-0.6458981074104031
water_e220_t0010,220.0,10.0,77.5,10.028173703251639,0.2817370325163937
water_e220_t0020,220.0,20.0,77.5,20.176545273489467,0.8827263674473285
water_e220_t0050,220.0,50.0,77.5,50.605853256072066,1.2117065121441284
water_e220_t0100,220.0,100.0,77.5,101.2917345947155,1.291734594715499
water_e150_t0005,150.0,5.0,78.0,5.015921259989938,0.3184251997987442
water_e150_t0010,150.0,10.0,78.0,10.086633841539651,0.866338415396517
water_e150_t0020,150.0,20.0,78.0,20.23226581999731,1.161329099986541
water_e150_t0050,150.0,50.0,78.0,50.66095474300401,1.3219094860080327
water_e150_t0100,150.0,100.0,78.0,101.39350750540149,1.3935075054014812
water_e180_t0005,180.0,5.0,78.0,4.99872077230782,-0.02558455384360503
water_e180_t0010,180.0,10.0,78.0,10.069829781529677,0.6982978152967778
water_e180_t0020,180.0,20.0,78.0,20.220198382243495,1.100991911217486
water_e180_t0050,180.0,50.0,78.0,50.67889523256312,1.3577904651262518
water_e180_t0100,180.0,100.0,78.0,101.39337986796902,1.3933798679690135
water_e200_t0005,200.0,5.0,78.0,4.980674270048269,-0.38651459903462637
water_e200_t0010,200.0,10.0,78.0,10.05562340002706,0.5562340002705835
water_e200_t0020,200.0,20.0,78.0,20.20802074795708,1.040103739785403
water_e200_t0050,200.0,50.0,78.0,50.64949943285728,1.2989988657145624
water_e200_t0100,200.0,100.0,78.0,101.38974030682004,1.389740306820042
water_e220_t0005,220.0,5.0,78.0,4.971469621696315,-0.5706075660736998
water_e220_t0010,220.0,10.0,78.0,10.035776829350311,0.35776829350311345
water_e220_t0020,220.0,20.0,78.0,20.191858176694666,0.9592908834733294
water_e220_t0050,220.0,50.0,78.0,50.64438330971245,1.288766619424897
water_e220_t0100,220.0,100.0,78.0,101.36931592744637,1.3693159274463573
water_e150_t0005,150.0,5.0,78.5,5.019855706822682,0.3971141364536468
water_e150_t0010,150.0,10.0,78.5,10.094553717831374,0.9455371783137378
water_e150_t0020,150.0,20.0,78.5,20.24818528795987,1.2409264397993613
water_e150_t0050,150.0,50.0,78.5,50.701097793072904,1.4021955861458046
water_e150_t0100,150.0,100.0,78.5,101.47511242078494,1.4751124207849298
water_e180_t0005,180.0,5.0,78.5,5.002566263490223,0.05132526980446972
water_e180_t0010,180.0,10.0,78.5,10.077582004468354,0.7758200446835506
water_e180_t0020,180.0,20.0,78.5,20.235787762806922,1.1789388140346135
water_e180_t0050,180.0,50.0,78.5,50.71815416185743,1.4363083237148633
water_e180_t0100,180.0,100.0,78.5,101.47267191862366,1.472671918623658
water_e200_t0005,200.0,5.0,78.5,4.984464136639417,-0.3107172672116576
water_e200_t0010,200.0,10.0,78.5,10.063279391752957,0.6327939175295727
water_e200_t0020,200.0,20.0,78.5,20.223425005736715,1.1171250286835743
water_e200_t0050,200.0,50.0,78.5,50.688257582444464,1.3765151648889251
water_e200_t0100,200.0,100.0,78.5,101.467899253392,1.4678992533920132
water_e220_t0005,220.0,5.0,78.5,4.975215749320682,-0.4956850135863555
water_e220_t0010,220.0,10.0,78.5,10.04334280021368,0.4334280021367931
water_e220_t0020,220.0,20.0,78.5,20.20709627163245,1.035481358162249
water_e220_t0050,220.0,50.0,78.5,50.682725318322696,1.3654506366453933
water_e220_t0100,220.0,100.0,78.5,101.44651933013066,1.4465193301306467
water_e150_t0005,150.0,5.0,79.0,5.023771291279701,0.47542582559401136
water_e150_t0010,150.0,10.0,79.0,10.102435637437083,1.0243563743708162
water_e150_t0020,150.0,20.0,79.0,20.26402851274642,1.3201425637320963
water_e150_t0050,150.0,50.0,79.0,50.741049030563616,1.4820980611272239
water_e150_t0100,150.0,100.0,79.0,101.5563294621274,1.5563294621274038
water_e180_t0005,180.0,5.0,79.0,5.006393203583457,0.12786407166913705
water_e180_t0010,180.0,10.0,79.0,10.08529683828651,0.8529683828651047
water_e180_t0020,180.0,20.0,79.0,20.251301990614422,1.2565099530721158
water_e180_t0050,180.0,50.0,79.0,50.7572241207464,1.514448241492805
water_e180_t0100,180.0,100.0,79.0,101.55158347257627,1.5515834725762678
water_e200_t0005,200.0,5.0,79.0,4.988235657460166,-0.23528685079667877
water_e200_t0010,200.0,10.0,79.0,10.07089832962808,0.7089832962807963
water_e200_t0020,200.0,20.0,79.0,20.238754737376865,1.1937736868843363
water_e200_t0050,200.0,50.0,79.0,50.72682844591404,1.4536568918280812
water_e200_t0100,200.0,100.0,79.0,101.54568140603632,1.5456814060363255
water_e220_t0005,220.0,5.0,79.0,4.978943687987737,-0.421126240245262
water_e220_t0010,220.0,10.0,79.0,10.050872040866068,0.5087204086606789
water_e220_t0020,220.0,20.0,79.0,20.222260413991194,1.1113020699559772
water_e220_t0050,220.0,50.0,79.0,50.720881432250906,1.4417628645018166
water_e220_t0100,220.0,100.0,79.0,101.52334912235429,1.5233491223543005
water_e150_t0005,150.0,5.0,79.5,5.027668227042,0.5533645408399845
water_e150_t0010,150.0,10.0,79.5,10.110280030305773,1.1028003030577382
water_e150_t0020,150.0,20.0,79.5,20.27979635783288,1.3989817891643996
water_e150_t0050,150.0,50.0,79.5,50.78081062650536,1.5616212530107143
water_e150_t0100,150.0,100.0,79.5,101.63716301379363,1.6371630137936188
water_e180_t0005,180.0,5.0,79.5,5.010201803083675,0.20403606167349597
water_e180_t0010,180.0,10.0,79.5,10.092974707203524,0.9297470720352363
water_e180_t0020,180.0,20.0,79.5,20.26674191825623,1.3337095912811403
water_e180_t0050,180.0,50.0,79.5,50.796107252225426,1.5922145044508618
water_e180_t0100,180.0,100.0,79.5,101.63011884132334,1.6301188413233358
water_e200_t0005,200.0,5.0,79.5,4.991989040874898,-0.1602191825020305
water_e200_t0010,200.0,10.0,79.5,10.078480634471418,0.784806344714184
water_e200_t0020,200.0,20.0,79.5,20.254010789186196,1.2700539459309823
water_e200_t0050,200.0,50.0,79.5,50.765214149350385,1.530428298700759
water_e200_t0100,200.0,100.0,79.5,101.62309103949968,1.6230910394996911
water_e220_t0005,220.0,5.0,79.5,4.9826536444421095,-0.34692711115781316
water_e220_t0010,220.0,10.0,79.5,10.05836496880039,0.5836496880039066
water_e220_t0020,220.0,20.0,79.5,20.23735144425217,1.186757221260848
water_e220_t0050,220.0,50.0,79.5,50.75885376366364,1.5177075273272722
water_e220_t0100,220.0,100.0,79.5,101.5998095470276,1.5998095470276086
water_e150_t0005,150.0,5.0,80.0,5.031546724023997,0.6309344804799277
water_e150_t0010,150.0,10.0,80.0,10.118087318821054,1.1808731882105405
water_e150_t0020,150.0,20.0,80.0,20.295489671519164,1.477448357595823
water_e150_t0050,150.0,50.0,80.0,50.82038471380777,1.6407694276155294
water_e150_t0100,150.0,100.0,80.0,101.71761738318293,1.7176173831829233
water_e180_t0005,180.0,5.0,80.0,5.013992268780669,0.2798453756133856
water_e180_t0010,180.0,10.0,80.0,10.100616027979854,1.0061602797985403
water_e180_t0020,180.0,20.0,80.0,20.282108383311737,1.410541916558694
water_e180_t0050,180.0,50.0,80.0,50.834805661545175,1.6696113230903586
water_e180_t0100,180.0,100.0,80.0,101.70828226050516,1.7082822605051673
water_e200_t0005,200.0,5.0,80.0,4.995724491571821,-0.08551016856358507
water_e200_t0010,200.0,10.0,80.0,10.086026719690068,0.8602671969006881
water_e200_t0020,200.0,20.0,80.0,20.26919399255138,1.3459699627568877
water_e200_t0050,200.0,50.0,80.0,50.80341678140297,1.6068335628059538
water_e200_t0100,200.0,100.0,80.0,101.70013235324586,1.7001323532458645
water_e220_t0005,220.0,5.0,80.0,4.98634582179568,-0.273083564086396
water_e220_t0010,220.0,10.0,80.0,10.065821994140094,0.6582199414009393
water_e220_t0020,220.0,20.0,80.0,20.252370188094005,1.2618509404700218
water_e220_t0050,220.0,50.0,80.0,50.79664438754526,1.5932887750905067
water_e220_t0100,220.0,100.0,80.0,101.67590477237727,1.675904772377268
water_e150_t0005,150.0,5.0,80.5,5.035406988482237,0.7081397696447223
water_e150_t0010,150.0,10.0,80.5,10.125857917986139,1.2585791798613855
water_e150_t0020,150.0,20.0,80.5,20.311109287269545,1.5555464363477212
water_e150_t0050,150.0,50.0,80.5,50.85977338808952,1.7195467761790484
water_e150_t0100,150.0,100.0,80.5,101.7976968024414,1.7976968024413953
water_e180_t0005,180.0,5.0,80.5,5.0177648038548455,0.3552960770969005
water_e180_t0010,180.0,10.0,80.5,10.108221210080785,1.0822121008078556
water_e180_t0020,180.0,20.0,80.5,20.297402208725146,1.487011043625719
water_e180_t0050,180.0,50.0,80.5,50.8733214171387,1.7466428342773899
water_e180_t0100,180.0,100.0,80.5,101.7860778917101,1.7860778917101028
water_e200_t0005,200.0,5.0,80.5,4.999442210661584,-0.011155786768313192
water_e200_t0010,200.0,10.0,80.5,10.093536991445319,0.9353699144531991
water_e200_t0020,200.0,20.0,80.5,20.28430516431257,1.4215258215628523
water_e200_t0050,200.0,50.0,80.5,50.841438394139345,1.6828767882786977
water_e200_t0100,200.0,100.0,80.5,101.77680947324683,1.776809473246832
water_e220_t0005,220.0,5.0,80.5,4.990020419600512,-0.1995916079897575
water_e220_t0010,220.0,10.0,80.5,10.073243519836069,0.7324351983606814
water_e220_t0020,220.0,20.0,80.5,20.267317456752608,1.3365872837630466
water_e220_t0050,220.0,50.0,80.5,50.834255342521885,1.668510685043767
water_e220_t0100,220.0,100.0,80.5,101.75163889360209,1.751638893602081
water_e150_t0005,150.0,5.0,81.0,5.039249223085818,0.7849844617163537
water_e150_t0010,150.0,10.0,81.0,10.133592235603018,1.3359223560301725
water_e150_t0020,150.0,20.0,81.0,20.326656024084087,1.6332801204204328
water_e150_t0050,150.0,50.0,81.0,50.89897870855452,1.7979574171090418
water_e150_t0100,150.0,100.0,81.0,101.87740543026169,1.8774054302616916
water_e180_t0005,180.0,5.0,81.0,5.021519607940263,0.4303921588052706
water_e180_t0010,180.0,10.0,81.0,10.115790655851626,1.157906558516264
water_e180_t0020,180.0,20.0,81.0,20.31262420312177,1.5631210156088482
water_e180_t0050,180.0,50.0,81.0,50.9116565514945,1.8233131029889993
water_e180_t0100,180.0,100.0,81.0,101.86350982419964,1.8635098241996495
water_e200_t0005,200.0,5.0,81.0,5.003142395749592,0.06284791499182596
water_e200_t0010,200.0,10.0,81.0,10.10101184883274,1.0101184883274161
water_e200_t0020,200.0,20.0,81.0,20.29934510708179,1.4967255354089604
water_e200_t0050,200.0,50.0,81.0,50.87928100392827,1.7585620078565345
water_e200_t0100,200.0,100.0,81.0,101.85312645373665,1.8531264537366532
water_e220_t0005,220.0,5.0,81.0,4.993677633915183,-0.12644732169633244
water_e220_t0010,220.0,10.0,81.0,10.080629941798804,0.8062994179880434
water_e220_t0020,220.0,20.0,81.0,20.2821940473126,1.4109702365630028
water_e220_t0050,220.0,50.0,81.0,50.87168863172059,1.7433772634411815
water_e220_t0100,220.0,100.0,81.0,101.82701593463102,1.8270159346310155
water_e150_t0005,150.0,5.0,81.5,5.043073627001121,0.8614725400224232
water_e150_t0010,150.0,10.0,81.5,10.141290672419274,1.4129067241927418
water_e150_t0020,150.0,20.0,81.5,20.342130686803813,1.7106534340190604
water_e150_t0050,150.0,50.0,81.5,50.9380026988966,1.8760053977932012
water_e150_t0100,150.0,100.0,81.5,101.9567473536556,1.956747353655608
water_e180_t0005,180.0,5.0,81.5,5.025256877227292,0.5051375445458417
water_e180_t0010,180.0,10.0,81.5,10.123324760676141,1.2332476067614007
water_e180_t0020,180.0,20.0,81.5,20.32777516112671,1.638875805633555
water_e180_t0050,180.0,50.0,81.5,50.94981306194907,1.899626123898135
water_e180_t0100,180.0,100.0,81.5,101.94058207660697,1.940582076606967
